branch,conclusion,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,build_duration_original,run_attempt_from_api,fixed_with_api,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___LIST_,ft___T7_,ft___TXT_,ft___am_,ft___bash_,ft___bash__,ft___beam_,ft___beam__,ft___bend_test_,ft___bmad_,ft___bmad__,ft___bmad_optics_matching_,ft___bmad_saved_,ft___bmad_wall_,ft___bmad__,ft___cmake_,ft___correct_,ft___cpp_,ft___cpp__,ft___dat_,ft___eps_,ft___f90_,ft___f90__,ft___f90__,ft___fls_,ft___gdf_,ft___grid_field_,ft___grid_field__,ft___h_,ft___h5_,ft___h5__,ft___html_,ft___in_,ft___in7_,ft___inc_,ft___inc__,ft___init_,ft___init__,ft___init_clean_,ft___init_em_field_,ft___init_floor_orbit_,ft___init_grid_,ft___init_optics_matching_,ft___init_photon_,ft___init_plot_line_,ft___init_shape_,ft___init_spin_,ft___init_taylor_,ft___init_wake_,ft___init_wall_,ft___init_wall__,ft___init_wall3d_,ft___jpg_,ft___json_,ft___json__,ft___lat_,ft___layout_,ft___layout__,ft___md_,ft___md__,ft___namelist_,ft___namelist__,ft___nb_,ft___now__,ft___npz_,ft___out_,ft___out__,ft___params_,ft___pdf_,ft___pdf__,ft___pl_,ft___plot_,ft___png_,ft___psd_,ft___py_,ft___py__,ft___py__,ft___sh_,ft___spin_general_test_,ft___startup_,ft___startup_floor_orbit_,ft___startup_optics_matching_,ft___startup_plot_line_,ft___startup_shape_,ft___startup_wall_,ft___tao_,ft___tex_,ft___tex__,ft___tex__,ft___txt_,ft___wake_,ft___wake__,ft___write_foreign_test_,ft___xlsx_,ft___yaml_,ft___yml_,ft___yml__,ft____bash_,ft____bmad_,ft____bmad__,ft____bmad__,ft____cmake_,ft____cmake__,ft____correct_,ft____correct__,ft____cpp__,ft____f90_,ft____f90__,ft____f90__,ft____in_,ft____init_,ft____md__,ft____namelist_,ft____npz__,ft____pdf__,ft____pl_,ft____py_,ft____py__,ft____py__,ft____sh_,ft____sh__,ft____startup_floor_orbit_,ft____tao_,ft____tex_,ft____tex__,ft____tex__,ft____txt_,ft____yml__,ft___
2,success,0,1,69576399,1126.0,919,0,0,12,True,54,32,0,0,0,86,True,2125201,14,9,3,0,50,26682,2,6,241,0,117.02046065289824,0,85,0,0,1126.0,1.0,False,0,3,10,62852.0,1087.0,1142.0,1139.0,1207.0,1129.0,1096.0,1120.0,1131.4285714285713,39.25496632214045,1122.6666666666667,30.924639582917266,1143.75,49.14858424546259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,success,1,1,69576399,1403.0,918,0,0,12,True,54,32,0,0,0,86,True,2125201,14,9,3,0,50,26682,2,6,241,0,117.02046065289824,0,85,0,0,1403.0,1.0,False,1,3,10,1202.0,1126.0,1087.0,1142.0,1139.0,1207.0,1129.0,1096.0,1132.2857142857142,39.02868298108579,1118.3333333333333,28.290163190291665,1123.5,25.30480850220632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,1,69576399,1131.0,917,0,0,1,True,1,1,0,0,0,2,True,2125201,20,1,0,0,50,26683,2,6,3,0,117.02046065289824,0,85,0,0,1131.0,1.0,False,17,3,10,59237.0,1403.0,1126.0,1087.0,1142.0,1139.0,1207.0,1129.0,1176.142857142857,106.1797667031853,1205.3333333333333,172.2914197902302,1189.5,144.1954691844835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,success,1,1,69576399,1114.0,916,0,0,1,True,1,1,0,0,0,2,True,2125201,20,1,0,0,50,26683,2,6,3,0,117.02046065289824,0,85,0,0,1114.0,1.0,False,17,3,10,8.0,1131.0,1403.0,1126.0,1087.0,1142.0,1139.0,1207.0,1176.4285714285713,106.03436100757958,1220.0,158.5023659129415,1186.75,145.50229093270892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,1,69576399,1094.0,915,0,0,1,True,4,3,0,0,0,7,True,2125201,16,1,0,0,50,26683,2,6,22,0,117.02046065289824,0,85,0,0,1094.0,1.0,False,19,3,10,4722.0,1114.0,1131.0,1403.0,1126.0,1087.0,1142.0,1139.0,1163.142857142857,107.38315909463111,1216.0,162.16966424088076,1193.5,139.84872779781256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,1,69576399,1110.0,914,0,0,1,True,4,1,0,0,0,5,True,2125201,16,1,0,0,50,26684,2,6,22,0,117.02046065289824,0,85,0,0,1110.0,1.0,False,22,3,10,13785.0,1094.0,1114.0,1131.0,1403.0,1126.0,1087.0,1142.0,1156.7142857142858,110.37468653894982,1113.0,18.520259177452136,1185.5,145.78637339157137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,success,1,1,69576399,1104.0,913,0,0,4,True,42,15,5,5,10,57,True,2125201,16,1,0,0,50,26684,2,6,31,0,117.02046065289824,0,85,0,0,1104.0,1.0,False,0,4,10,4157.0,1110.0,1094.0,1114.0,1131.0,1403.0,1126.0,1087.0,1152.142857142857,111.73991911492296,1106.0,10.583005244258363,1112.25,15.195942440884233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,1,69576399,1203.0,912,0,0,2,True,71,65,0,0,0,136,True,2125201,10,2,0,0,50,26686,2,6,86,0,117.02046065289824,0,85,0,0,1203.0,1.0,False,14,5,10,138818.0,1104.0,1110.0,1094.0,1114.0,1131.0,1403.0,1126.0,1154.5714285714287,110.26310525716379,1102.6666666666667,8.082903768654761,1105.5,8.698658900466592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,success,1,1,69576399,1114.0,911,0,0,2,True,71,65,0,0,0,136,True,2125201,10,2,0,0,50,26686,2,6,86,0,117.02046065289824,0,85,0,0,1114.0,1.0,False,15,5,10,1543.0,1203.0,1104.0,1110.0,1094.0,1114.0,1131.0,1403.0,1165.5714285714287,110.77733995551188,1139.0,55.50675634551167,1127.75,50.59891303180336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,1,69576399,1105.0,910,0,0,1,True,17,14,0,0,0,31,True,2125201,10,1,0,0,50,26686,2,6,10,0,117.02046065289824,0,85,0,0,1105.0,1.0,False,16,5,10,5804.0,1114.0,1203.0,1104.0,1110.0,1094.0,1114.0,1131.0,1124.2857142857142,36.481567426643856,1140.3333333333333,54.50076452063158,1132.75,47.01329599166602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
