branch,conclusion,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,build_duration_original,run_attempt_from_api,fixed_with_api,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___bat__,ft___config_,ft___gradle_,ft___gradle__,ft___java_,ft___java__,ft___json_,ft___json__,ft___properties_,ft___properties__,ft___tf_,ft___tf__,ft___tfvars_,ft___tfvars__,ft___xml_,ft___xml__,ft___yaml_,ft___yml_,ft___yml__,ft____config_,ft____gradle_,ft____gradle__,ft____jar_,ft____java_,ft____java__,ft____json__,ft____md_,ft____md__,ft____out_,ft____out__,ft____properties_,ft____properties__,ft____tf_,ft____tf__,ft____tfvars_,ft____tfvars__,ft____xml_,ft____xml__,ft____yaml_,ft____yaml__,ft____yml_,ft____yml__,ft___
2,failure,0,2,6192976,131.0,1867,0,0,6,False,64,58,0,0,0,122,False,85434,0,0,0,6,149,9804,1,9,8,0,843.7390266170377,47,40,0,0,131.0,1.0,False,13,3,10,78678.0,112.0,102.0,64.0,78.0,291.0,81.0,49.0,111.0,82.18272324521742,92.66666666666667,25.32455988429677,89.0,21.939310229205777,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,7,6192976,415.0,1866,0,0,4,False,6,5,0,0,0,11,True,85504,146,0,0,4,147,9801,1,7,5,2,843.0599738023951,47,40,0,0,415.0,1.0,False,9,4,10,73775.0,131.0,112.0,102.0,64.0,78.0,291.0,81.0,122.71428571428571,77.58804522543896,115.0,14.730919862656235,102.25,28.194266556636414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,success,1,7,6192976,341.0,1865,0,0,4,False,6,5,0,0,0,11,True,85504,146,0,0,4,147,9801,1,7,5,2,843.0599738023951,47,40,0,0,341.0,1.0,False,11,4,10,6591.0,415.0,131.0,112.0,102.0,64.0,78.0,291.0,170.42857142857142,131.57615936895905,219.33333333333334,169.71839421033104,190.0,150.48144957657294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,failure,0,10,6192976,58.0,1864,0,0,1,False,1,1,0,0,0,2,False,85434,0,0,0,1,149,9804,1,9,6,0,843.7390266170377,47,40,0,0,58.0,1.0,False,11,4,10,40.0,341.0,415.0,131.0,112.0,102.0,64.0,78.0,177.57142857142858,140.28168940012227,295.6666666666667,147.3273000272975,249.75,151.3392987076831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,10,6192976,267.0,1863,0,0,1,False,1,1,0,0,0,2,False,85434,0,0,0,1,149,9804,1,9,8,0,843.7390266170377,47,40,0,0,267.0,1.0,False,11,4,10,3.0,58.0,341.0,415.0,131.0,112.0,102.0,64.0,174.71428571428572,142.82823517044787,271.3333333333333,188.42062873616925,236.25,169.0904590251423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,10,6192976,43.0,1862,0,0,1,False,1,1,0,0,0,2,False,85434,0,0,0,1,149,9804,1,9,6,0,843.7390266170377,47,40,0,0,43.0,1.0,False,11,4,10,3.0,267.0,58.0,341.0,415.0,131.0,112.0,102.0,203.71428571428572,137.09572602834157,222.0,146.76852523616907,270.25,153.86005546166513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,10,6192976,12.0,1861,0,0,1,False,1,1,0,0,0,2,False,85434,0,0,0,1,149,9804,1,9,0,0,843.7390266170377,47,40,0,0,12.0,1.0,False,11,4,10,6.0,43.0,267.0,58.0,341.0,415.0,131.0,112.0,195.28571428571428,145.92088528344652,122.66666666666667,125.22113772575831,177.25,149.5691033157138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,failure,0,10,6192976,68.0,1860,0,0,1,False,1,1,0,0,0,2,False,85434,0,0,0,1,149,9804,1,9,6,0,843.7390266170377,47,40,0,0,68.0,1.0,False,11,4,10,2.0,12.0,43.0,267.0,58.0,341.0,415.0,131.0,181.0,159.67988810951323,107.33333333333333,139.14141487469982,95.0,116.2554658213253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,10,6192976,53.0,1859,0,0,2,False,2,2,0,0,0,4,False,85434,0,0,0,2,149,9804,1,9,6,0,843.7390266170377,47,40,0,0,53.0,1.0,False,11,4,10,5.0,68.0,12.0,43.0,267.0,58.0,341.0,415.0,172.0,164.66531713347126,41.0,28.053520278211074,97.5,115.29816419469421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,10,6192976,62.0,1858,0,0,1,False,1,1,0,0,0,2,False,85434,0,0,0,1,149,9804,1,9,0,0,843.7390266170377,47,40,0,0,62.0,1.0,False,11,4,10,3.0,53.0,68.0,12.0,43.0,267.0,58.0,341.0,120.28571428571429,128.50384467103734,44.333333333333336,28.988503468329185,44.0,23.678400846904054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,10,6192976,252.0,1857,0,0,1,False,1,1,0,0,0,2,False,85434,0,0,0,1,149,9804,1,9,8,0,843.7390266170377,47,40,0,0,252.0,1.0,False,11,4,10,4.0,62.0,53.0,68.0,12.0,43.0,267.0,58.0,80.42857142857143,84.30274242841914,61.0,7.54983443527075,48.75,25.26361019331956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,10,6192976,62.0,1856,0,0,1,False,1,1,0,0,0,2,False,85434,0,0,0,1,149,9804,1,9,0,0,843.7390266170377,47,40,0,0,62.0,1.0,False,11,4,10,3.0,252.0,62.0,53.0,68.0,12.0,43.0,267.0,108.14285714285714,105.0387683531317,122.33333333333333,112.38475578713215,108.75,95.6987460732898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,10,6192976,68.0,1855,0,0,1,False,1,1,0,0,0,2,False,85434,0,0,0,1,149,9804,1,9,1,0,843.7390266170377,47,40,0,0,68.0,1.0,False,11,4,10,84.0,62.0,252.0,62.0,53.0,68.0,12.0,43.0,78.85714285714286,78.62236444216232,125.33333333333333,109.6965511460289,107.25,96.59321922371156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,10,6192976,50.0,1854,0,0,1,False,1,1,0,0,0,2,False,85434,0,0,0,1,149,9804,1,9,6,0,843.7390266170377,47,40,0,0,50.0,1.0,False,11,4,10,6.0,68.0,62.0,252.0,62.0,53.0,68.0,12.0,82.42857142857143,77.27840824546259,127.33333333333333,108.00617266310908,111.0,94.04254356406997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,10,6192976,75.0,1853,0,0,1,False,1,1,0,0,0,2,False,85434,0,0,0,1,149,9804,1,9,8,0,843.7390266170377,47,40,0,0,75.0,1.0,False,11,4,10,4.0,50.0,68.0,62.0,252.0,62.0,53.0,68.0,87.85714285714286,72.70586535584908,60.0,9.16515138991168,108.0,96.29122493768578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,10,6192976,275.0,1852,0,0,1,False,1,1,0,0,0,2,False,85434,0,0,0,1,149,9804,1,9,6,0,843.7390266170377,47,40,0,0,275.0,1.0,False,11,4,10,6.0,75.0,50.0,68.0,62.0,252.0,62.0,53.0,88.85714285714286,72.43486400766915,64.33333333333333,12.897028081435401,63.75,10.594810050208546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,10,6192976,72.0,1851,0,0,1,False,2,2,0,0,0,4,False,85434,0,0,0,1,149,9804,1,9,8,0,843.7390266170377,47,40,0,0,72.0,1.0,False,11,4,10,3.0,275.0,75.0,50.0,68.0,62.0,252.0,62.0,120.57142857142857,98.15269930548207,133.33333333333334,123.32207155790618,117.0,105.85839598255775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,2,6192976,125.0,1850,0,0,5,False,39,20,0,0,0,59,False,85450,0,4,0,1,149,9805,1,9,9,0,843.581041544763,47,40,0,0,125.0,1.0,False,13,0,10,266119.0,72.0,275.0,75.0,50.0,68.0,62.0,252.0,122.0,97.2265395866787,140.66666666666666,116.34574909868144,118.0,105.25841217372289,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
