branch,conclusion,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,build_duration_original,run_attempt_from_api,fixed_with_api,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___DotSettings_,ft___cs_,ft___cs__,ft___csproj_,ft___css_,ft___css__,ft___cs__,ft___cs___,ft___deb_,ft___ico__,ft___js__,ft___json_,ft___json__,ft___mjs__,ft___png_,ft___png__,ft___props_,ft___sh_,ft___svg_,ft___ts_,ft___ts__,ft___tsx_,ft___tsx__,ft___tsx__,ft___ts__,ft___yml_,ft___yml__,ft____cs_,ft____csproj_,ft____css_,ft____cs__,ft____json_,ft____json__,ft____md_,ft____sh_,ft____svg_,ft____svg__,ft____ts_,ft____ts__,ft____tsx__,ft____tsx__,ft____yml_,ft____yml__,ft___
2,success,0,0,75763098,28.0,856,0,0,2,False,1,1,0,0,0,2,False,665613,0,2,0,0,91,7671,3,4,200,0,0.0195308685377238,0,131.0,0,0,28.0,1.0,False,0,3,10,63083.0,45.0,142.0,29.0,28.0,97.0,268.0,116.0,103.57142857142857,85.0624420506433,72.0,61.14736298484179,61.0,54.55883674224247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,1,0,75763098,145.0,855,0,0,2,False,1,1,0,0,0,2,True,489337,410,2,0,0,91,7671,1,4,200,0,0.0,0,106.0,0,0,145.0,1.0,False,0,3,10,8.0,28.0,45.0,142.0,29.0,28.0,97.0,268.0,91.0,89.3159187006064,71.66666666666667,61.50067750304328,61.0,54.55883674224247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,1,0,75763098,187.0,854,0,0,2,False,1,1,0,0,0,2,True,489337,498,2,0,0,91,7671,1,4,200,0,0.0,0,106.0,0,0,187.0,1.0,False,0,3,10,8.0,145.0,28.0,45.0,142.0,29.0,28.0,97.0,73.42857142857143,53.68071392613037,72.66666666666667,63.21655901212382,90.0,62.177166226839255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,1,0,75763098,144.0,853,0,0,3,False,2,2,0,0,0,4,True,665613,419,1,0,2,91,7671,1,4,200,0,0.0195308685377238,0,106.0,0,0,144.0,1.0,False,0,3,10,28.0,187.0,145.0,28.0,45.0,142.0,29.0,28.0,86.28571428571429,68.89052737426796,120.0,82.39538822045807,101.25,77.0211010048545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,1,75763098,116.0,852,0,0,1,False,0,0,0,0,0,0,True,665613,709,1,0,0,91,7671,3,4,200,0,0.0195308685377238,0,131.0,0,0,116.0,1.0,False,0,3,10,20.0,144.0,187.0,145.0,28.0,45.0,142.0,29.0,102.85714285714286,66.4415245947607,158.66666666666666,24.54248017893329,126.0,68.33739825307956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,0,75763098,29.0,851,0,0,2,False,0,0,0,0,0,0,True,665613,709,2,0,0,91,7671,3,4,200,0,0.0195308685377238,0,131.0,0,0,29.0,1.0,False,0,3,10,353.0,116.0,144.0,187.0,145.0,28.0,45.0,142.0,115.28571428571429,57.91290669535386,149.0,35.76310948449533,148.0,29.268868558020255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,success,1,0,75763098,115.0,850,0,0,1,False,0,0,0,0,0,0,True,665613,709,1,0,0,91,7671,3,4,200,0,0.0195308685377238,0,131.0,0,0,115.0,1.0,False,0,3,10,0.0,29.0,116.0,144.0,187.0,145.0,28.0,45.0,99.14285714285714,64.58954655212811,96.33333333333333,59.969436660129915,119.0,66.72830483885132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,1,75763098,110.0,849,2,0,11,False,93033,584,0,0,0,93617,True,757480,289,11,0,2,92,7685,3,5,200,0,0.0171621692981992,0,131.0,0,0,110.0,1.0,False,21,6,10,335677.0,115.0,29.0,116.0,144.0,187.0,145.0,28.0,109.14285714285714,60.070593392076546,86.66666666666667,49.94330118577799,101.0,49.846430831772366,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,1,75763098,85.0,848,0,0,2,False,1,1,0,0,0,2,False,757480,0,2,0,0,92,7685,3,5,200,0,0.0171621692981992,0,131.0,0,0,85.0,1.0,False,21,6,10,16.0,110.0,115.0,29.0,116.0,144.0,187.0,145.0,120.85714285714286,48.48858481274595,84.66666666666667,48.27352621606726,92.5,42.41462012089699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,0,75763098,26.0,847,0,0,4,False,2,2,0,0,0,4,True,665608,289,4,0,0,92,7685,3,5,200,0,0.0195310152522205,0,131.0,0,0,26.0,1.0,False,21,6,10,184.0,85.0,110.0,115.0,29.0,116.0,144.0,187.0,112.28571428571429,48.811591129274085,103.33333333333333,16.072751268321593,84.75,39.41552147737403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
