branch,conclusion,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,build_duration_original,run_attempt_from_api,fixed_with_api,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___in_,ft___in__,ft___json5_,ft___json5__,ft___md_,ft___sh_,ft___sh__,ft___yml__,ft___yml__,ft____cosmic_,ft____cosmic__,ft____in_,ft____in__,ft____json_,ft____json__,ft____json5_,ft____json5__,ft____md_,ft____md__,ft____pub_,ft____py_,ft____py__,ft____sh_,ft____sh__,ft____txt_,ft____txt__,ft____yml__,ft___
1,success,3,2,105026558,2684.0,1373,0,0,2,False,27,1,0,0,0,28,False,1253,0,2,0,0,3,161,12,2,35,0,0.0,0,43.0,0,0,2684.0,1.0,False,22,3,10,122395.0,3041.0,386.0,354.0,2671.0,1710.0,1411.0,443.0,1430.857142857143,1113.2563988245518,1260.3333333333333,1542.185570329762,1613.0,1443.278443913948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,success,1,2,105026558,2574.0,1372,0,0,1,False,10,4,0,0,0,14,False,1260,0,1,0,0,3,162,12,2,13,0,0.0,0,43.0,0,0,2574.0,1.0,False,14,4,10,58416.0,2684.0,3041.0,386.0,354.0,2671.0,1710.0,1411.0,1751.0,1104.0157003714517,2037.0,1440.9070060208605,1616.25,1446.4661247329645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,failure,1,2,105026558,353.0,1371,0,1,6,False,55,31,0,0,0,86,False,1294,0,6,0,1,3,164,9,2,144,0,0.0,0,43.0,0,0,353.0,1.0,False,15,5,10,90679.0,2574.0,2684.0,3041.0,386.0,354.0,2671.0,1710.0,1917.142857142857,1131.4893472132837,2766.3333333333335,244.14408314217513,2171.25,1206.7453128145971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,success,1,2,105026558,2719.0,1369,0,1,6,False,55,31,0,0,0,86,False,1294,0,6,0,1,3,164,12,2,144,0,0.0,0,43.0,0,0,2719.0,1.0,False,16,5,10,706.0,353.0,2574.0,2684.0,3041.0,386.0,354.0,2671.0,1723.2857142857142,1279.4646946133,1870.3333333333333,1315.1997313462823,2163.0,1223.0216678374918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,failure,1,2,105026558,1768.0,1367,0,0,2,False,5,2,0,0,0,7,False,1294,0,2,0,0,3,166,12,2,48,0,0.0,0,43.0,0,0,1768.0,1.0,False,19,5,10,12619.0,2719.0,353.0,2574.0,2684.0,3041.0,386.0,354.0,1730.142857142857,1285.5047554134044,1882.0,1326.1361166939087,2082.5,1154.6539164038143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,success,1,2,105026558,2622.0,1366,0,0,1,False,1,1,0,0,0,2,False,1294,0,0,0,1,3,166,12,2,63,0,0.0,0,43.0,0,0,2622.0,1.0,False,20,5,10,2172.0,1768.0,2719.0,353.0,2574.0,2684.0,3041.0,386.0,1932.142857142857,1135.5740734053752,1613.3333333333333,1190.5588323696286,1853.5,1084.2848641693136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,success,1,2,105026558,2651.0,1365,0,0,1,False,0,13,0,0,0,13,False,1283,0,1,0,0,3,166,12,2,8,0,0.0,0,43.0,0,0,2651.0,1.0,False,23,5,10,12061.0,2622.0,1768.0,2719.0,353.0,2574.0,2684.0,3041.0,2251.5714285714284,922.7019845979266,2369.6666666666665,523.3109337032175,1865.5,1095.1281507963654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,success,1,2,105026558,2738.0,1364,0,0,1,False,3,2,0,0,0,5,False,1284,0,0,0,1,3,167,12,2,4,0,0.0,0,43.0,0,0,2738.0,1.0,False,14,0,10,140518.0,2651.0,2622.0,1768.0,2719.0,353.0,2574.0,2684.0,2195.8571428571427,877.7709322618342,2347.0,501.63831592094317,2440.0,449.8407125490829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,failure,1,2,105026558,1791.0,1360,0,0,1,False,1,1,0,0,0,2,False,1729,0,1,0,0,3,179,10,2,24,0,0.0,0,42.0,0,0,1791.0,1.0,False,0,1,10,36090.0,2738.0,2651.0,2622.0,1768.0,2719.0,353.0,2574.0,2203.5714285714284,882.9977080270097,2670.3333333333335,60.36831398451785,2444.75,453.8512054260368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,success,1,2,105026558,1661.0,1352,0,0,1,False,1,1,0,0,0,2,False,1717,0,1,0,0,3,179,10,2,24,0,0.0,0,42.0,0,0,1661.0,1.0,False,2,1,10,8325.0,1791.0,2738.0,2651.0,2622.0,1768.0,2719.0,353.0,2091.714285714286,877.8309849254799,2393.3333333333335,523.4465907170791,2450.5,442.42099106318784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
