project,model,RMSE,NRMSE,R2,CVRMSE
radare2,RF,1096.37,0.80,0.35,0.47
radare2,LGB,1137.32,0.80,0.34,0.47
radare2,XGB,1138.33,0.83,0.30,0.49
radare2,GBR,1099.25,0.78,0.37,0.46
radare2,DT,1190.69,0.87,0.23,0.51
radare2,Baseline lag-1,1596.02,1.16,-0.36,0.68
radare2,Baseline 7 last means,1349.09,0.98,0.02,0.58
daos,RF,922.09,0.66,0.55,0.30
daos,LGB,866.66,0.62,0.60,0.28
daos,XGB,844.31,0.60,0.62,0.27
daos,GBR,848.36,1.88,0.62,0.28
daos,DT,1022.40,0.73,0.45,0.33
daos,Baseline lag-1,1173.32,0.84,0.28,0.38
daos,Baseline 7 last means,1315.49,0.94,0.09,0.43
ouds-android,RF,171.60,0.61,-0.43,0.17
ouds-android,LGB,191.09,1.32,-0.77,0.19
ouds-android,XGB,196.94,1.37,-0.88,0.19
ouds-android,GBR,173.96,1.21,-0.47,0.17
ouds-android,DT,172.77,1.20,-0.45,0.17
ouds-android,Baseline lag-1,202.43,1.40,-0.99,0.20
ouds-android,Baseline 7 last means,151.63,1.05,-0.11,0.15
FilterLists,RF,20.54,0.53,0.71,0.20
FilterLists,LGB,21.14,0.54,0.69,0.20
FilterLists,XGB,18.87,0.48,0.75,0.18
FilterLists,GBR,19.20,0.49,0.74,0.18
FilterLists,DT,23.95,0.62,0.61,0.23
FilterLists,Baseline lag-1,57.77,1.48,-1.22,0.56
FilterLists,Baseline 7 last means,41.00,1.06,-0.14,0.40
m2os,RF,1268.97,0.80,0.34,0.45
m2os,LGB,1041.80,0.65,0.55,0.37
m2os,XGB,1224.68,0.77,0.38,0.43
m2os,GBR,1147.05,0.72,0.46,0.41
m2os,DT,1324.47,0.83,0.28,0.47
m2os,Baseline lag-1,1435.35,0.90,0.16,0.50
m2os,Baseline 7 last means,1778.61,1.12,-0.29,0.63
Bruce,RF,54.55,1.03,-0.09,0.15
Bruce,LGB,60.70,1.15,-0.35,0.17
Bruce,XGB,55.51,1.05,-0.13,0.15
Bruce,GBR,55.58,1.05,-0.13,0.15
Bruce,DT,63.09,1.19,-0.46,0.17
Bruce,Baseline lag-1,52.38,1.00,-0.02,0.14
Bruce,Baseline 7 last means,56.45,1.07,-0.17,0.16
rust-lang,RF,20.54,0.53,0.71,0.20
rust-lang,LGB,51.83,0.54,0.70,0.11
rust-lang,XGB,49.40,0.51,0.73,0.10
rust-lang,GBR,49.79,0.52,0.72,0.10
rust-lang,DT,60.69,0.63,0.59,0.13
rust-lang,Baseline lag-1,122.00,1.27,-0.63,0.26
rust-lang,Baseline 7 last means,99.42,1.04,-0.08,0.21
jod-yksilo,RF,109995.74,0.95,0.07,8.79
jod-yksilo,LGB,111184.92,0.96,0.05,8.88
jod-yksilo,XGB,113247.81,0.98,0.02,9.05
jod-yksilo,GBR,83754.44,0.72,0.46,6.69
jod-yksilo,DT,105065.76,0.91,0.15,8.39
jod-yksilo,Baseline lag-1,165616.65,1.44,-1.09,13.23
jod-yksilo,Baseline 7 last means,123582.41,1.07,-0.16,9.87
ccpay,RF,24.33,1.00,-0.02,0.07
ccpay,LGB,24.74,1.02,-0.05,0.07
ccpay,XGB,25.40,1.05,-0.11,0.07
ccpay,GBR,25.04,1.03,-0.08,0.07
ccpay,DT,39.34,1.62,-1.67,0.11
ccpay,Baseline lag-1,37.06,1.53,-1.39,0.11
ccpay,Baseline 7 last means,26.23,1.08,-0.18,0.07
bmad,RF,48.67,1.34,-0.81,0.04
bmad,LGB,43.08,1.18,-0.42,0.03
bmad,XGB,39.41,1.08,-0.19,0.03
bmad,GBR,39.52,1.08,-0.19,0.03
bmad,DT,48.67,1.34,-0.81,0.04
bmad,Baseline lag-1,50.37,1.39,-0.96,0.04
bmad,Baseline 7 last means,38.92,1.07,-0.16,0.03
