model,model_key,project,repo,id_build,run_url,actual_duration,prediction,baseline_lag1,baseline_mean7,abs_error_model,abs_error_lag1,abs_error_mean7,case_type
DT,decision_tree,bmad,bmad-sim/bmad-ecosystem,16818200706,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/16818200706,1112.0,1111.7777777777778,1165.0,1155.2857142857142,0.2222222222221717,53.0,43.28571428571422,best_model
DT,decision_tree,bmad,bmad-sim/bmad-ecosystem,17180389508,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/17180389508,1113.0,1111.7777777777778,1191.0,1155.4285714285713,1.2222222222221717,78.0,42.42857142857133,best_model
DT,decision_tree,bmad,bmad-sim/bmad-ecosystem,17075600703,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/17075600703,1138.0,1139.6,1211.0,1168.0,1.599999999999909,73.0,30.0,best_model
DT,decision_tree,bmad,bmad-sim/bmad-ecosystem,17184583649,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/17184583649,1099.0,1254.127777777778,1161.0,1138.0,155.12777777777796,62.0,39.0,worst_model
DT,decision_tree,bmad,bmad-sim/bmad-ecosystem,16732721367,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/16732721367,1221.0,1086.4615384615386,1113.0,1124.5714285714287,134.53846153846143,108.0,96.42857142857133,worst_model
DT,decision_tree,bmad,bmad-sim/bmad-ecosystem,16897356510,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/16897356510,1126.0,1254.127777777778,1178.0,1158.7142857142858,128.12777777777796,52.0,32.71428571428578,worst_model
DT,decision_tree,bruce,pr3y/Bruce,15508901629,https://github.com/pr3y/Bruce/actions/runs/15508901629,303.0,302.6633333333333,298.0,329.14285714285717,0.33666666666670153,5.0,26.142857142857167,best_model
DT,decision_tree,bruce,pr3y/Bruce,16313829697,https://github.com/pr3y/Bruce/actions/runs/16313829697,314.0,313.55,305.0,335.57142857142856,0.44999999999998863,9.0,21.571428571428555,best_model
DT,decision_tree,bruce,pr3y/Bruce,16282642108,https://github.com/pr3y/Bruce/actions/runs/16282642108,305.0,306.7896551724138,310.0,355.0,1.7896551724138021,5.0,50.0,best_model
DT,decision_tree,bruce,pr3y/Bruce,16200244216,https://github.com/pr3y/Bruce/actions/runs/16200244216,436.0,302.6633333333333,329.0,328.7142857142857,133.3366666666667,107.0,107.28571428571428,worst_model
