branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___bat__,ft___config_,ft___gradle_,ft___gradle__,ft___java_,ft___java__,ft___json_,ft___json__,ft___properties_,ft___properties__,ft___tf_,ft___tf__,ft___tfvars_,ft___tfvars__,ft___xml_,ft___xml__,ft___yaml_,ft___yml_,ft___yml__,ft____config_,ft____gradle_,ft____gradle__,ft____jar_,ft____java_,ft____java__,ft____json__,ft____md_,ft____md__,ft____properties_,ft____properties__,ft____tf_,ft____tf__,ft____tfvars_,ft____tfvars__,ft____xml_,ft____xml__,ft____yaml_,ft____yaml__,ft____yml_,ft___
2,0,7,6192976,434.0,2166,0,0,1,False,2,0,0,0,0,2,True,84376,80,0,0,1,147,9757,1,12,7,0,843.7114819379918,47,40,0,0,15,3,7,260929.0,455.0,367.0,369.0,441.0,432.0,378.0,416.0,408.2857142857143,36.604709559082174,397.0,50.23942674832188,408.0,46.54746681256314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,6192976,390.0,2165,0,0,2,False,4,9,0,0,0,13,True,84376,80,0,0,2,147,9758,1,12,0,0,843.7114819379918,47,40,0,0,16,3,7,2894.0,434.0,455.0,367.0,369.0,441.0,432.0,378.0,410.85714285714283,37.848067196043054,418.6666666666667,45.96012764705222,406.25,44.99907406454789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,11,6192976,433.0,2162,0,0,1,False,1,1,0,0,0,2,False,84376,0,0,0,1,147,9758,1,12,27,0,843.7114819379918,47,40,0,0,16,3,7,81.0,390.0,434.0,455.0,367.0,369.0,441.0,432.0,412.57142857142856,36.35407883056656,426.3333333333333,33.17127271199182,411.5,40.170470082719554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,7,6192976,441.0,2147,1,0,4,False,95,5,0,0,0,100,True,84462,92,1,0,4,147,9759,1,10,2,2,842.8524069995974,47,40,0,0,18,4,7,700744.0,433.0,390.0,434.0,455.0,367.0,369.0,441.0,412.7142857142857,36.4450009636177,419.0,25.11971337416094,428.0,27.28858125052797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0,7,6192976,446.0,2146,0,0,1,False,8,1,0,0,0,9,True,84462,92,0,0,1,147,9760,1,10,3,2,842.8524069995974,47,40,0,0,18,4,7,408.0,441.0,433.0,390.0,434.0,455.0,367.0,369.0,412.7142857142857,36.4450009636177,421.3333333333333,27.42869543622761,424.5,23.27373340628157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,7,6192976,391.0,2145,0,0,1,False,0,1,0,0,0,1,True,84461,92,0,0,1,147,9761,1,10,3,2,842.8623861900759,47,40,0,0,19,4,7,995.0,446.0,441.0,433.0,390.0,434.0,455.0,367.0,423.7142857142857,32.45362992390982,440.0,6.557438524302,427.5,25.566905692059542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,8,6192976,400.0,2144,0,0,1,False,1,1,0,0,0,2,True,84461,92,0,0,1,147,9762,1,10,4,2,842.8623861900759,47,40,0,0,19,4,7,658.0,391.0,446.0,441.0,433.0,390.0,434.0,455.0,427.14285714285717,26.111482604584594,426.0,30.4138126514911,427.75,25.07821099414124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,7,6192976,388.0,2143,0,0,2,False,7,7,0,0,0,14,True,84455,92,1,0,1,147,9764,1,9,0,2,842.9222662956604,47,40,0,0,17,0,7,253505.0,400.0,391.0,446.0,441.0,433.0,390.0,434.0,419.2857142857143,24.560905830976495,412.3333333333333,29.50141239556732,419.5,28.029746104213405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,6192976,446.0,2142,1,0,5,False,103,7,0,0,0,110,True,84455,92,1,0,5,147,9765,1,9,0,2,842.9222662956604,47,40,0,0,21,0,7,12949.0,388.0,400.0,391.0,446.0,441.0,433.0,390.0,412.7142857142857,26.07498344975049,393.0,6.244997998398398,406.25,26.98610753702727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0,11,6192976,441.0,2139,0,0,1,False,1,1,0,0,0,2,False,84455,0,0,0,1,147,9766,1,9,27,0,842.9222662956604,47,40,0,0,21,0,7,71.0,446.0,388.0,400.0,391.0,446.0,441.0,433.0,420.7142857142857,26.531203551756974,411.3333333333333,30.615900008546756,406.25,26.98610753702727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
