branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___in_,ft___in__,ft___json5_,ft___json5__,ft___md_,ft___sh_,ft___sh__,ft___yml__,ft___yml____dup1,ft____cosmic_,ft____in_,ft____in__,ft____json_,ft____json__,ft____json5_,ft____json5__,ft____pub_,ft____py_,ft____py__,ft____sh_,ft____sh__,ft____txt_,ft____txt__,ft____yml__,ft___
1,1,2,105026558,1355.0,1405,0,0,1,False,0,1,0,0,0,1,False,1240,0,1,0,0,3,134,10,3,77,0,0.0,0,530.0,0,0,23,2,9,4192977.0,1361.0,526.0,591.0,745.0,574.0,512.0,459.0,681.1428571428571,313.02685112272644,826.0,464.4620544242554,805.75,381.3881443708845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,1385.0,1404,0,0,2,False,2,1,0,0,0,3,False,1241,0,2,0,0,3,136,10,2,93,0,0.0,0,530.0,0,0,14,5,9,226279.0,1355.0,1361.0,526.0,591.0,745.0,574.0,512.0,809.1428571428571,382.52730994942425,1080.6666666666667,480.3647919376828,958.25,462.3601590391052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,1390.0,1402,0,0,1,False,1,0,0,0,0,1,False,1243,0,1,0,0,3,139,10,2,72,0,0.0,0,530.0,0,0,18,5,9,14881.0,1385.0,1355.0,1361.0,526.0,591.0,745.0,574.0,933.8571428571429,410.7726169757946,1367.0,15.874507866387544,1156.75,420.69971476101574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,1424.0,1400,0,0,1,False,1,1,0,0,0,2,False,1248,0,1,0,0,3,139,10,2,72,0,0.0,0,530.0,0,0,19,5,9,2663.0,1390.0,1385.0,1355.0,1361.0,526.0,591.0,745.0,1050.4285714285713,407.40064520602533,1376.6666666666667,18.929694486000912,1372.75,17.327723451163457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,2589.0,1393,0,0,2,False,12,1,0,0,0,13,False,1305,0,1,0,1,3,146,12,2,49,0,0.0,0,701.0,0,0,12,6,9,61660.0,1424.0,1390.0,1385.0,1355.0,1361.0,526.0,591.0,1147.4285714285713,403.3728040505694,1399.6666666666667,21.22105872319601,1388.5,28.26658805020514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,105026558,2714.0,1388,0,0,1,False,1,0,0,0,0,1,False,1333,0,1,0,0,3,151,12,2,24,0,0.0,0,701.0,0,0,1,0,9,47899.0,2589.0,1424.0,1390.0,1385.0,1355.0,1361.0,526.0,1432.857142857143,602.0087010919993,1801.0,682.6397292862466,1697.0,594.9190421113336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,2671.0,1377,0,0,1,False,1,1,0,0,0,2,False,1234,0,0,0,1,3,160,12,2,8,0,0.0,0,43.0,0,0,10,1,10,723811.0,2714.0,2589.0,1424.0,1390.0,1385.0,1355.0,1361.0,1745.4285714285713,620.4189061010463,2242.3333333333335,711.4480538544844,2029.25,720.4560476994184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,2,105026558,3041.0,1374,0,0,2,False,27,1,0,0,0,28,False,1253,0,2,0,0,3,161,12,2,35,0,0.0,0,43.0,0,0,12,2,10,92240.0,2671.0,2714.0,2589.0,1424.0,1390.0,1385.0,1355.0,1932.5714285714287,679.859999593754,2658.0,63.50590523722971,2349.5,619.1749887282808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,2574.0,1372,0,0,1,False,10,4,0,0,0,14,False,1260,0,1,0,0,3,162,12,2,13,0,0.0,0,43.0,0,0,14,4,10,180811.0,3041.0,2671.0,2714.0,2589.0,1424.0,1390.0,1385.0,2173.4285714285716,737.3598979112026,2808.6666666666665,202.35200353179934,2753.75,198.3958584917202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,105026558,2719.0,1369,0,1,6,False,55,31,0,0,0,86,False,1294,0,6,0,1,3,164,12,2,144,0,0.0,0,43.0,0,0,16,5,10,91385.0,2574.0,3041.0,2671.0,2714.0,2589.0,1424.0,1390.0,2343.285714285714,658.1635344617916,2762.0,246.44066222926767,2750.0,202.64418734981436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
