branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___cjs__,ft___css_,ft___html_,ft___ico_,ft___js_,ft___js__,ft___json_,ft___json__,ft___md__,ft___png_,ft___svg_,ft___ts_,ft___ts__,ft___tsx_,ft___tsx__,ft___tsx____dup1,ft___webmanifest_,ft___xml_,ft___yml_,ft___yml__,ft____cjs_,ft____css_,ft____css__,ft____html_,ft____html__,ft____json_,ft____json__,ft____md_,ft____snap_,ft____svg_,ft____ts_,ft____ts__,ft____tsx_,ft____tsx__,ft____tsx____dup1,ft____yaml__,ft____yml_,ft____yml__,ft___
2,0,1,83806327,230.0,1614,0,0,1,False,2,1,0,0,0,3,False,7803,0,0,0,1,6,164,3,5,75,0,11.534025374855824,0,112.0,0,0,13,2,7,8511.0,207.0,232.0,217.0,226.0,214.0,207.0,209.0,216.0,9.763879010584539,218.66666666666666,12.583057392117917,220.5,10.908712114635714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0,2,83806327,299.0,1612,1,0,17,False,94,146,13,21,34,240,False,7732,0,4,0,13,6,166,3,5,223,0,10.605276771857218,0,112.0,0,0,8,3,8,66251.0,230.0,207.0,232.0,217.0,226.0,214.0,207.0,219.0,10.456258094238748,223.0,13.892443989449804,221.5,11.73314393786536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,83806327,195.0,1611,0,0,3,False,23,21,0,0,0,44,True,7732,24,1,0,2,6,166,3,5,186,1,10.605276771857218,0,112.0,0,0,9,3,8,5160.0,299.0,230.0,207.0,232.0,217.0,226.0,214.0,232.14285714285714,30.829793876641318,245.33333333333334,47.87831798772105,242.0,39.65686153324121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,83806327,269.0,1609,1,0,17,False,94,146,13,21,34,240,True,7706,78,4,0,13,6,169,3,5,223,1,10.641058915131069,0,112.0,0,0,9,3,8,455.0,195.0,299.0,230.0,207.0,232.0,217.0,226.0,229.42857142857142,33.420837526195854,241.33333333333334,52.91817583149795,232.75,46.492830988587194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,83806327,235.0,1607,0,0,2,False,2,43,0,0,0,45,True,7706,20,1,0,1,6,169,3,5,76,1,10.641058915131069,0,112.0,0,0,11,3,8,5053.0,269.0,195.0,299.0,230.0,207.0,232.0,217.0,235.57142857142858,36.49592279902484,254.33333333333334,53.52880844305553,248.25,45.36794022214365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,83806327,260.0,1606,0,0,5,False,138,123,0,0,0,261,False,7706,0,1,0,4,6,169,3,5,61,0,10.641058915131069,0,112.0,0,0,12,3,8,5222.0,235.0,269.0,195.0,299.0,230.0,207.0,232.0,238.14285714285714,35.59226775311632,233.0,37.04051835490427,249.5,44.762335357604684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,83806327,510.0,1605,0,0,8,True,25,53,0,0,0,78,True,7706,20,3,0,5,6,169,3,5,76,1,10.641058915131069,0,112.0,0,0,13,3,8,4080.0,260.0,235.0,269.0,195.0,299.0,230.0,207.0,242.14285714285714,36.35211397534111,254.66666666666666,17.616280348965084,239.75,33.11973228555247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,83806327,202.0,1604,0,0,5,False,138,123,0,0,0,261,True,7715,54,1,0,4,6,171,3,5,61,1,10.628645495787428,0,112.0,0,0,7,4,8,62827.0,510.0,260.0,235.0,269.0,195.0,299.0,230.0,285.42857142857144,104.34375423387375,335.0,152.0690632574555,318.5,128.47438136323782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,83806327,188.0,1602,0,0,2,False,13,11,0,0,0,24,True,7715,27,1,0,1,6,171,3,5,158,1,10.628645495787428,0,112.0,0,0,11,4,8,13352.0,202.0,510.0,260.0,235.0,269.0,195.0,299.0,281.42857142857144,107.31706472389365,324.0,163.67040050051813,301.75,140.8506892658558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,83806327,3121.0,1601,0,0,2,True,13,11,0,0,0,24,True,7715,27,1,0,1,6,171,3,5,158,1,10.628645495787428,0,112.0,0,0,11,4,8,465.0,188.0,202.0,510.0,260.0,235.0,269.0,195.0,265.57142857142856,112.36971291657011,300.0,182.0,290.0,149.94221109036198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,4,83806327,195.0,1600,0,0,1,False,2,103,0,0,0,105,False,7512,0,1,0,0,7,172,3,6,51,0,10.915867944621938,0,112.0,0,0,9,2,8,426248.0,3121.0,188.0,202.0,510.0,260.0,235.0,269.0,683.5714285714286,1080.214925704272,1170.3333333333333,1689.3413904043591,1005.25,1418.3063550117326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,4,83806327,231.0,1599,0,0,2,False,245,3,0,0,0,248,False,7513,0,2,0,0,7,172,3,6,144,0,10.914415013975775,0,112.0,0,0,10,2,8,4289.0,195.0,3121.0,188.0,202.0,510.0,260.0,235.0,673.0,1085.2984228619641,1168.0,1691.351234959788,926.5,1463.0111642317247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,4,83806327,235.0,1598,0,0,6,False,250,218,0,0,0,468,True,7513,24,4,0,2,7,172,3,6,307,2,10.914415013975775,0,112.0,0,0,11,2,8,1309.0,231.0,195.0,3121.0,188.0,202.0,510.0,260.0,672.4285714285714,1085.5684927175034,1182.3333333333333,1679.0310697939253,933.75,1458.2883516872328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,83806327,431665.0,1597,0,0,6,True,250,218,0,0,0,468,True,7513,24,4,0,2,7,172,3,6,307,2,10.914415013975775,0,112.0,0,0,12,2,8,5663.0,235.0,231.0,195.0,3121.0,188.0,202.0,510.0,668.8571428571429,1087.1914012064033,220.33333333333334,22.03028218914441,945.5,1450.4448742828297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,4,83806327,215.0,1596,2,0,3,False,604,5,0,0,0,609,False,7513,0,4,0,1,7,172,3,6,198,0,10.914415013975775,0,112.0,0,0,15,3,8,97412.0,431665.0,235.0,231.0,195.0,3121.0,188.0,202.0,62262.42857142857,162894.83598511972,144043.66666666666,249087.38134504796,108081.5,215722.33408326856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,4,83806327,245.0,1595,2,0,3,False,605,8,0,0,0,613,False,7513,0,4,0,1,7,172,3,6,198,0,10.914415013975775,0,112.0,0,0,6,4,8,51315.0,215.0,431665.0,235.0,231.0,195.0,3121.0,188.0,62264.28571428572,162894.01059043914,144038.33333333334,249092.0003399012,108086.5,215719.00017306465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,83806327,236.0,1594,0,0,3,False,29,49,0,0,0,78,False,7506,0,1,0,2,7,174,3,6,188,0,10.924593658406607,0,112.0,0,0,9,4,8,12386.0,245.0,215.0,431665.0,235.0,231.0,195.0,3121.0,62272.42857142857,162890.39167781622,144041.66666666666,249089.1138394718,108090.0,215716.66702722193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
